Date,Open,High,Low,Close,Volume,Market Cap
Dec-19-2020,23131.044599635,24077.494140633,22830.897794011,23844.568074264,63655496241.651764,433408582772.57513
Dec-18-2020,22796.249239005,23239.698771323,22397.095505447,23113.992587247,117018623816.43909,424807678680.4707
Dec-17-2020,21349.656699156,23656.653474484,21265.801183126,22823.459093674,119966786315.09962,419778522334.20374
Dec-16-2020,19424.010728277,21395.554438724,19306.677136097,21367.096307987,48227478063.0557,372499190037.11926
Dec-15-2020,19273.916377975,19540.782576846,19086.032634755,19434.070313033,37207256823.11252,359262989996.6772
Dec-14-2020,19181.39628037,19346.860365094,19021.829780335,19270.746809811,35594491140.733116,355900072299.115
Dec-13-2020,18795.239774701,19393.314747018,18719.958388883,19169.338451969,36129560660.676926,354908722065.1165
Dec-12-2020,18017.348725996,18905.259874457,18017.348725996,18804.794708687,37864610631.46234,342883193664.7577
Dec-11-2020,18236.776368782,18236.776368782,17604.050116716,18062.118986906,51456006610.403404,333126430004.28265
Dec-10-2020,18541.854651712,18541.854651712,17939.981718382,18261.878450329,42051607215.352486,339862101398.04816
Dec-09-2020,18328.8917672,18624.633202136,17656.943459076,18569.987699691,51894238233.16762,339169288875.3209
Dec-08-2020,19169.816020354,19268.377649289,18279.488207537,18325.054202865,36072867923.53677,351716110113.325
Dec-07-2020,19363.53181553,19403.803149876,18940.871913412,19190.037781381,33514897152.7213,356357579476.0403
Dec-06-2020,19153.421243258,19374.851388494,18891.567772225,19336.692554651,31248872995.053795,355303487880.7596
Dec-05-2020,18660.486213047,19167.433320893,18560.029882503,19127.656824482,43493402326.58658,352394017893.1268
Dec-04-2020,19430.848422085,19510.639948124,18643.370271105,18737.192660312,42711852976.52263,354653480586.11646
Dec-03-2020,19217.923079202,19587.145690129,18909.027573004,19427.95495995,45460478689.58614,357548224634.56726
Dec-02-2020,18756.509652358,19330.508182511,18356.075312073,19201.276130857,64736169956.75906,351583352343.0996
Dec-01-2020,19692.233922332,19877.368317356,18338.560347128,18855.043740295,68651048241.23216,357418673134.3429
Nov-30-2020,18181.615199899,19802.678916793,18181.615199899,19721.874730214,47907519457.72852,350768118966.7203
Nov-29-2020,17725.686439674,18309.851983355,17549.51547626,18162.123474769,39169112135.10042,333623131271.31573
Nov-28-2020,17133.441135915,17846.943770415,16877.451531342,17707.715790133,40948231069.951706,320959715771.8824
Nov-27-2020,17157.384114714,17419.958076123,16487.301507563,17076.842021809,66090936294.65946,315076279273.9348
Nov-26-2020,18736.048866346,18911.148774185,16290.953384122,17072.810341953,76574550473.94511,322683382857.048
Nov-25-2020,19151.452512233,19461.568641658,18547.979034051,18770.202102024,66020446070.152565,353357152750.164
Nov-24-2020,18383.260531659,19412.494296575,18042.082974004,19121.511413257,65582487334.32913,349606772372.26
Nov-23-2020,18400.416213361,18750.758655205,18032.684212936,18374.452581293,56013957456.03462,341944154690.56366
Nov-22-2020,18673.990470469,18740.898903377,17648.898807899,18413.52696735,51842917681.28616,341719648443.3331
Nov-21-2020,18665.474201417,18956.343147325,18478.416523698,18709.05738082,51342425635.76762,346810483009.7195
Nov-20-2020,17799.981883673,18798.614588928,17763.988551961,18641.285031419,51247577103.92673,339782497230.51886
Nov-19-2020,17769.081098984,18139.036177408,17395.282348173,17806.276919319,61088362075.88866,330660347306.1966
Nov-18-2020,17664.951637795,18475.035135983,17395.811764732,17827.839147466,72012568910.56276,331419792599.43823
Nov-17-2020,16703.980983878,17829.764716014,16577.525090457,17683.759275981,45999622881.28087,316502527418.307
Nov-16-2020,15948.492682357,16842.984015706,15884.87538072,16725.110727362,32816346805.621357,303249393769.39136
Nov-15-2020,16068.098174684,16131.798573711,15796.54343862,15961.34578839,31319340855.48677,296296699173.90576
Nov-14-2020,16320.047202877,16320.047202877,15725.309160914,16083.588047602,36181426857.15586,296890514838.0307
Nov-13-2020,16297.187308657,16463.293772256,15984.115886145,16316.137259339,46113488949.94295,301643276630.3249
Nov-12-2020,15691.609029632,16299.943642833,15492.641331258,16279.270538159,42629399358.63863,294819304889.72314
Nov-11-2020,15297.95996981,15949.504404586,15282.011824356,15687.480248155,34076621281.51302,288682936493.8948
Nov-10-2020,15313.694553525,15429.005972833,15104.414981969,15280.16349114,42038978766.00832,283781645786.3733
Nov-09-2020,15478.313162689,15798.201003642,14836.543568078,15326.156847868,39301152286.42476,284840712675.19946
Nov-08-2020,14815.051319972,15613.433272935,14748.256936569,15499.081293284,44191246290.48436,281457720322.22363
Nov-07-2020,15568.616616084,15741.75486188,14448.630728465,14821.983251777,43966023319.82191,284108062641.75586
Nov-06-2020,15589.384002602,15922.325592996,15204.987932447,15547.052549124,64505570471.967636,288455228523.34344
Nov-05-2020,14140.354542161,15710.756207542,14100.780242686,15558.525408402,45894350397.81075,272633809887.8374
Nov-04-2020,14017.051388679,14212.511632163,13589.969148761,14132.96094433,36787608742.723,257381109205.72293
Nov-03-2020,13556.446654126,14034.321131344,13304.122320606,13973.248876644,31957453140.12342,252079847197.62527
Nov-02-2020,13760.888840264,13826.961490536,13269.505306607,13576.968475843,28341039633.36889,251772697765.86133
Nov-01-2020,13794.548579995,13881.86907219,13629.063928135,13735.006857626,27500088064.669514,254930532220.35904
Oct-31-2020,13554.960433884,13984.749251489,13431.717613355,13795.526547596,32985934324.839626,254384806361.32748
Oct-30-2020,13456.609309997,13661.960099167,13151.416225459,13568.837248108,35824994060.33563,248695600092.55972
Oct-29-2020,13276.349224381,13629.991957156,12987.72993908,13443.531522235,35824326414.72994,246797158758.76465
Oct-28-2020,13639.746153222,13837.306744368,12960.025985765,13275.481261315,40460863642.23352,249011575352.0386
Oct-27-2020,13057.489332144,13775.681647134,13057.489332144,13651.54050526,32537705770.876247,247385893170.58356
